Source,Destination,Weight
ACQUITTAL,SCOTLAND,1.0
MANUFACTURING FACILITIES,CHINA,1.0
SALES FIGURES,EGYPT,1.0
DEFENSE & MILITARY POLICY,WALES,1.0
FUTURES,CANADA,3.0
STUDENTS & STUDENT LIFE,TEXAS USA,2.0
CELEBRITIES,UNITED KINGDOM,13.0
CONSTRUCTION MATERIALS & COMPONENTS,NORTHERN ASIA,1.0
DEVELOPING COUNTRIES,AFGHANISTAN,1.0
BANKING & FINANCE,ZIMBABWE,2.0
INTERNET SOCIAL NETWORKING,BELGIUM,1.0
POLITICAL CANDIDATES,LEBANON,18.0
MILITARY HOSPITALS,EGYPT,1.0
POLITICAL PARTIES,CONNECTICUT USA,9.0
INTERNATIONAL RELATIONS,IRELAND,2.0
POWER & COMMUNICATION SYSTEM CONSTRUCTION,JORDAN,1.0
AIRLINES,NEPAL,1.0
WILDLIFE,HONG KONG,1.0
TEMPORARY STAND RETAILING,AFRICA,1.0
HATE CRIME,PAKISTAN,1.0
ARRESTS,AFGHANISTAN,12.0
CONVENTION & VISITORS BUREAUS,UNITED STATES,1.0
OIL & GAS INDUSTRY,ALASKA USA,1.0
TELEVISION PROGRAMMING,TUNISIA,14.0
DELAYS & POSTPONEMENTS,UNITED KINGDOM,1.0
MOTOR VEHICLES,CHILE,1.0
BUILDING RENOVATION,TURKEY,1.0
NON FICTION LITERATURE,UNITED KINGDOM,1.0
HOLOCAUST,SUDAN,1.0
NATURAL RESOURCES,YEMEN,1.0
IRAQ WAR,ISRAEL,4.0
MOBILE COMMERCE,SOUTH AFRICA,3.0
INDUSTRIAL EQUIPMENT MFG,JAPAN,1.0
MOVIE REVIEWS,ALGERIA,4.0
SOCCER TOURNAMENTS,SCOTLAND,8.0
ACCIDENT INVESTIGATIONS,IRAN ISLAMIC REPUBLIC OF,3.0
DOGS,UNITED ARAB EMIRATES,2.0
SATELLITE INDUSTRY,EGYPT,2.0
MISSILE SYSTEMS,KOREA DEMOCRATIC PEOPLE'S REPUBLIC OF,2.0
EARTHQUAKES,KOREA REPUBLIC OF,3.0
AIR FORCES,SINGAPORE,1.0
COMPUTER CRIME,IRAQ,2.0
PREGNANCY & CHILDBIRTH,TUNISIA,3.0
INITIAL PUBLIC OFFERINGS,KUWAIT,2.0
ARTILLERY & ORDNANCE MFG,SERBIA,3.0
UNIVERSITY ADMINISTRATION,AUSTRALIA,1.0
SEARCH & NAVIGATION INSTRUMENT MFG,UNITED STATES,3.0
CLOTHING LABELS,UNITED STATES,1.0
SPORTS & RECREATION EVENTS,MADRID SPAIN,1.0
IDENTITY THEFT,UNITED ARAB EMIRATES,1.0
APPROVALS,UNITED ARAB EMIRATES,2.0
STUDENTS & STUDENT LIFE,ITALY,1.0
GRANDPARENTS,UNITED STATES,2.0
EXPERIMENTATION & RESEARCH,EGYPT,8.0
CORRECTIONS WORKERS,UNITED STATES,4.0
SPORTS & RECREATION EVENTS,EGYPT,95.0
AUTOMOTIVE WORKERS,UNITED STATES,1.0
TELEVISION INDUSTRY,LONDON ENGLAND,2.0
STATISTICAL METHOD,CAIRO EGYPT,1.0
PARENT COMPANIES,LEBANON,1.0
FRAUD & FINANCIAL CRIME,PERTH AUSTRALIA,1.0
LETTERS & COMMENTS,AFGHANISTAN,5.0
MOVIE RATINGS,VICTORIA AUSTRALIA,1.0
HIJACKING,OMAN,7.0
RECESSION,SAUDI ARABIA,3.0
AIR CHARTER SERVICES,FLORIDA USA,1.0
TOURISM DEVELOPMENT,KENYA,3.0
ECONOMIC NEWS,NORTHERN ASIA,3.0
TERRORIST ORGANIZATIONS,KOREA DEMOCRATIC PEOPLE'S REPUBLIC OF,2.0
NEW ISSUES,ABU DHABI UNITED ARAB EMIRATES,1.0
CRUISES,BAHRAIN,3.0
ARMIES,AFRICA,1.0
OPERA,SPAIN,1.0
VETERINARY SERVICES,AFGHANISTAN,1.0
TELEVISION INDUSTRY,HONG KONG,1.0
POLLS & SURVEYS,SINGAPORE,1.0
CHILDREN'S HOSPITALS,MELBOURNE AUSTRALIA,1.0
CELEBRITIES,SINGAPORE,1.0
ARMED FORCES,AUSTRALIA,14.0
SEPARATISM & SECESSION,NEW YORK NY USA,1.0
TELECOMMUNICATIONS SECTOR PERFORMANCE,ZIMBABWE,2.0
TENNIS,EGYPT,1.0
TENNIS TOURNAMENTS,DUBAI UNITED ARAB EMIRATES,6.0
HYDROELECTRIC POWER,IRAQ,1.0
ADMINISTRATIVE PROCEDURE,AUSTRALIA,2.0
HOUSING AUTHORITIES,OMAN,1.0
DEFENSE INDUSTRY,CANADA,2.0
TRADE DEVELOPMENT,BERLIN GERMANY,2.0
INTERNATIONAL TRADE,PAKISTAN,1.0
SYSTEMS INTEGRATION,KUWAIT,2.0
ETHNIC & CULTURAL STUDIES,TUCSON AZ USA,1.0
POWER PLANTS,RUSSIAN FEDERATION,2.0
COSMETICS,UNITED STATES,1.0
CONSUMER ELECTRONICS,DUBAI UNITED ARAB EMIRATES,1.0
SCIENCE & TECHNOLOGY,UNITED ARAB EMIRATES,2.0
RENTAL PROPERTY,TUNISIA,1.0
NATIONAL SECURITY,KOREA REPUBLIC OF,1.0
COMPUTER & INTERNET LAW,UNITED KINGDOM,3.0
EMBEZZLEMENT,IRAQ,2.0
MILITARY TRAINING,UNITED STATES,8.0
ENTERTAINMENT & ARTS AWARDS,QUEBEC CANADA,2.0
COMPUTER EQUIPMENT,AFGHANISTAN,1.0
BRIDGES & TUNNELS,SUDAN,1.0
PARAMILITARY & MILITIA,QATAR,1.0
EARTHQUAKES,TUNISIA,2.0
ETHNIC GROUPS,SUDAN,3.0
COMPUTER NETWORKS,UNITED STATES,6.0
HOLOCAUST,NORTHERN AFRICA,1.0
WHOLESALE PRICES,CHINA,1.0
FOOD PRICES,AFRICA,10.0
MOTORCOACHES & BUSES,MALAYSIA,1.0
SUITS & CLAIMS,NIGERIA,3.0
PLANT CAPACITY,SAUDI ARABIA,1.0
FOOD CRISES & SHORTAGES,IRAQ,1.0
AIRCRAFT PILOTS,UNITED ARAB EMIRATES,4.0
BUSINESS EDUCATION,NEPAL,1.0
HOUSEHOLD APPLIANCE STORES,SAUDI ARABIA,1.0
REFUGEES,WESTERN SAHARA,4.0
CONSUMER SPENDING,AUSTRALIA,2.0
POLITICAL PARTIES,SWITZERLAND,1.0
CAMPAIGNS & ELECTIONS,JORDAN,5.0
INTERNATIONAL RELATIONS,OMAN,5.0
IRANIAN ELECTION PROTESTS,TUNISIA,5.0
HERD BEHAVIOR,UNITED STATES,1.0
ENGINEERING,YEMEN,1.0
GUNSHOT WOUNDS,UNITED STATES,32.0
CEREBRAL PALSY,CHRISTCHURCH NEW ZEALAND,2.0
BOMBS & EXPLOSIVES,KASHMIR,1.0
EMBASSIES & CONSULATES,JAPAN,3.0
MOVIE FILMING,TUNISIA,2.0
CONTRACTS & BIDS,SAUDI ARABIA,4.0
GOLD & FOREIGN EXCHANGE RESERVES,SAUDI ARABIA,2.0
CHILDREN'S LITERATURE,LONDON ENGLAND,1.0
HIKING,AFGHANISTAN,1.0
POVERTY RATES,PAKISTAN,1.0
GRANDCHILDREN,BEIRUT LEBANON,2.0
HOTELS & MOTELS,JORDAN,3.0
US PRESIDENTS,SUDAN,19.0
CARDIOVASCULAR DISEASE,IRAN ISLAMIC REPUBLIC OF,1.0
COMPANY EARNINGS,TANZANIA UNITED REPUBLIC OF,1.0
HEDGE FUNDS,MALDIVES,1.0
STUDENTS & STUDENT LIFE,SINGAPORE,2.0
AUTOMOTIVE TECHNOLOGY,KUWAIT,1.0
MUSIC INDUSTRY,CHINA,2.0
DRAMA LITERATURE,FRANCE,1.0
PRIMARY SCHOOLS,UNITED STATES,1.0
APPROVALS,AFGHANISTAN,11.0
CAPITAL PUNISHMENT,AFGHANISTAN,4.0
MARINE PASSENGER TRANSPORT,MEDITERRANEAN SEA,3.0
CIVIL AVIATION,ETHIOPIA,1.0
JOB CREATION,UNITED STATES,14.0
ACTORS & ACTRESSES,MALTA,1.0
RADIO BROADCAST INDUSTRY,AFRICA,2.0
POLITICAL PARTIES,TURKEY,6.0
BOARDING SCHOOLS,AFRICA,1.0
IRANIAN ELECTION PROTESTS,INDIA,4.0
AIR CHARTER SERVICES,SPAIN,1.0
JURY TRIALS,FLORIDA USA,1.0
CITY LIFE,SPAIN,1.0
ENGINEERING,TURKEY,2.0
POLICE MISCONDUCT,IRAN ISLAMIC REPUBLIC OF,1.0
TOUR OPERATORS,CYPRUS,1.0
US REPUBLICAN PARTY,ISRAEL,3.0
AVIATION INSURANCE,UNITED STATES,1.0
PIPELINE TRANSPORTATION,NORTHEAST USA,1.0
LAW COURTS & TRIBUNALS,NIGERIA,4.0
CHRISTIANS & CHRISTIANITY,EUROPEAN UNION MEMBER STATES,3.0
FOREIGN INVESTMENT,SOMALIA,1.0
MANSLAUGHTER,SYDNEY AUSTRALIA,1.0
TALKS & MEETINGS,SIERRA LEONE,2.0
FOOD CHARITIES,UNITED KINGDOM,3.0
SEAFOOD,DUBAI UNITED ARAB EMIRATES,1.0
MOBILE MEDIA,NIGERIA,2.0
CHILDREN,NEW ZEALAND,1.0
INTERNATIONAL RELATIONS,ROME ITALY,2.0
COMPANY PROFITS,UNITED STATES,6.0
WEATHER,UNITED ARAB EMIRATES,7.0
RADIO BROADCAST INDUSTRY,KENYA,1.0
CONSTRUCTION EQUIPMENT,UNITED STATES,1.0
DRUG & MEDICAL DEVICES APPROVAL,UNITED STATES,2.0
PROPERTY CRIMES,DUBAI UNITED ARAB EMIRATES,4.0
RELIGION,BELARUS,1.0
APPROVALS,SOUTH-EASTERN ASIA,1.0
FIREARMS,NIGERIA,3.0
TRANSLATORS & INTERPRETERS,AFGHANISTAN,1.0
EDUCATIONAL INSTITUTION EMPLOYEES,IRAQ,1.0
MARITIME PIRACY,EGYPT,2.0
PASSOVER,EGYPT,1.0
OIL EXTRACTION,ATLANTIC OCEAN,2.0
INTERGOVERNMENTAL TALKS,BERLIN GERMANY,1.0
FILM,ISRAEL,2.0
HIGHWAYS & STREETS,TUNISIA,3.0
CRUDE OIL MARKETS,UNITED ARAB EMIRATES,3.0
ARTISTS & PERFORMERS,NETHERLANDS,1.0
WEATHER,PHILIPPINES,1.0
INTERNATIONAL RELATIONS,BAGHDAD IRAQ,1.0
RELIEF ORGANIZATIONS,UNITED STATES,5.0
SEX OFFENSES,EGYPT,6.0
AGING,IRAQ,1.0
INFECTIOUS DISEASE,AFRICA,2.0
CHRISTMAS,BRAZIL,4.0
GOLF,SPAIN,3.0
FREEDOM OF PRESS,KUWAIT,2.0
VOLCANIC ERUPTIONS,UNITED STATES,4.0
TALKS & MEETINGS,KUWAIT,16.0
ECONOMIC DECLINE,PENNSYLVANIA USA,1.0
SPEECH & LANGUAGE DISORDERS,IRAQ,4.0
ANTIQUE DEALERS,GREECE,2.0
CENTRAL BANKS,CROATIA,1.0
MUSLIMS & ISLAM,NORTHERN AFRICA,2.0
UTILITIES INDUSTRY,CHILE,1.0
THEATER,EDINBURGH SCOTLAND,1.0
TELEVISION INDUSTRY,CALIFORNIA USA,1.0
RELIGIOUS PILGRIMAGES,AFGHANISTAN,2.0
WEDDINGS & ENGAGEMENTS,JAPAN,1.0
DEFENSE INDUSTRY,TUNISIA,2.0
SENTENCING,ENGLAND,1.0
VOLUNTEERS,TAMPA FL USA,1.0
CATHOLICS & CATHOLICISM,AFGHANISTAN,1.0
LOW INCOME PERSONS,SAUDI ARABIA,2.0
DELAYS & POSTPONEMENTS,QUEENSLAND AUSTRALIA,1.0
ARRESTS,ITALY,14.0
HOTELS & MOTELS,NIGERIA,2.0
IMMUNITY,LEBANON,1.0
UNEMPLOYMENT RATES,AUSTRALIA,2.0
EDUCATIONAL INSTITUTION EMPLOYEES,CAIRO EGYPT,2.0
MARITIME PIRACY,AFGHANISTAN,1.0
TAX RELIEF,JORDAN,1.0
DEATHS & OBITUARIES,MASSACHUSETTS USA,1.0
US PRESIDENTIAL ELECTIONS,TUCSON AZ USA,1.0
INTEREST RATES,LONDON ENGLAND,1.0
CAPITAL EXPENDITURES,QATAR,1.0
FOREIGN POLICY,BAHRAIN,1.0
EURO ZONE,HAITI,4.0
BUSINESS EDUCATION,LEBANON,1.0
AWARDS & PRIZES,BAHRAIN,11.0
RADIO ADVERTISING,UNITED KINGDOM,1.0
JUDGES,TURKEY,1.0
NATIONAL SECURITY,BAHRAIN,1.0
BANKING & FINANCE AGENCIES,UNITED ARAB EMIRATES,1.0
HIKING,UNITED ARAB EMIRATES,3.0
CAPITAL PUNISHMENT,SOMALIA,1.0
FINES & PENALTIES,EUROPEAN UNION MEMBER STATES,1.0
POPULATION GROWTH,TUNISIA,13.0
ARMIES,QUEENSLAND AUSTRALIA,2.0
DATA TRANSMISSION,EGYPT,1.0
MOVIE INDUSTRY,INDIA,2.0
GOVERNORS,PENNSYLVANIA USA,1.0
ANIMALS,KENYA,1.0
SEARCH & SEIZURE,ISRAEL,1.0
NUCLEAR POWER PLANTS,AUSTRALIA,1.0
POLYGAMY,DUBAI UNITED ARAB EMIRATES,1.0
WRITERS & WRITING,BAGHDAD IRAQ,1.0
WEAPONS DECOMMISSIONING,AFGHANISTAN,1.0
PREPAID CARDS,SINGAPORE,1.0
FAMILY,NORTHERN AFRICA,1.0
PRICE CHANGES,RUSSIAN FEDERATION,1.0
APPOINTMENTS,RUSSIAN FEDERATION,2.0
REGIONAL & LOCAL GOVERNMENTS,AUSTRALIA,6.0
ENTREPRENEURSHIP,SOUTH AFRICA,3.0
EURO,BAHRAIN,25.0
INVESTMENT ADVISERS,NIGERIA,2.0
DAIRY INDUSTRY,UNITED KINGDOM,1.0
INVESTIGATIONS,HUNGARY,1.0
VETERANS,AFGHANISTAN,3.0
JUSTICE DEPARTMENTS,MOROCCO,4.0
GOAT FARMING,TURKEY,1.0
SHAREHOLDERS,HAITI,4.0
FOREIGN RELATIONS,INDIA,6.0
GUN CONTROL,UNITED KINGDOM,1.0
CIVIL RIGHTS,AFRICA,1.0
GOVERNMENT BUDGETS,INDIA,4.0
ELECTIONS,BANGLADESH,1.0
CHRISTIANS & CHRISTIANITY,SYRIA,5.0
PRIME MINISTERS,SUDAN,7.0
POLICE FORCES,ITALY,12.0
JUDGES,UNITED STATES,23.0
SUSTAINABLE AGRICULTURE,ISRAEL,1.0
FAMILY,AFGHANISTAN,5.0
VIOLENT CRIME,YEMEN,1.0
AIRPORTS,IRAQ,14.0
CHRISTIANS & CHRISTIANITY,SCOTLAND,6.0
EXPORT TRADE,PARIS FRANCE,2.0
COLLEGES & UNIVERSITIES,JORDAN,2.0
MARKET SHARE,MALAYSIA,2.0
MEN'S MARKET,AFGHANISTAN,2.0
WAR ON TERROR,CANADA,1.0
COST OF LIVING,QUEENSLAND AUSTRALIA,1.0
ORGANIZED CRIME,UNITED ARAB EMIRATES,2.0
INVESTIGATIONS,PALESTINIAN TERRITORY OCCUPIED,26.0
LAWYERS,CANADA,6.0
INSURANCE COVERAGE,CONGO THE DEMOCRATIC REPUBLIC OF THE,2.0
BANKING & FINANCE SECTOR PERFORMANCE,UNITED ARAB EMIRATES,1.0
NON FARM PAYROLLS,NIGERIA,2.0
SPORTS,MADRID SPAIN,1.0
PRESS CONFERENCES,QATAR,9.0
MERCHANT BANKING,ZIMBABWE,2.0
BUSINESS EDUCATION,NORTHERN ASIA,1.0
CANCER,PENNSYLVANIA USA,1.0
AGING,TUNISIA,3.0
AMERICAN FOOTBALL,QATAR,2.0
SETTLEMENTS & DECISIONS,INDONESIA,2.0
BOMBS & EXPLOSIVES,BOSNIA & HERZEGOVINA,1.0
SHOOTINGS,ALBANIA,4.0
LIBERAL MEDIA,SUDAN,2.0
INFORMATION WARFARE,TUNISIA,2.0
US REPUBLICAN PARTY,LOUISIANA USA,1.0
HUMAN RIGHTS VIOLATIONS,TURKEY,3.0
RADIO BROADCAST INDUSTRY,AUSTRALIA,3.0
WEDDINGS & ENGAGEMENTS,UNITED ARAB EMIRATES,5.0
WATER POLLUTION,YEMEN,1.0
FLIGHT SCHOOLS,ITALY,1.0
BOOK REVIEWS,KOREA DEMOCRATIC PEOPLE'S REPUBLIC OF,1.0
SPORTS & RECREATION,TANZANIA UNITED REPUBLIC OF,10.0
REFERENDUMS,YEMEN,1.0
LITERATURE,SWEDEN,1.0
DEVELOPING COUNTRIES,QATAR,5.0
LINGERIE,AFGHANISTAN,1.0
LEISURE TRAVEL,NIGERIA,2.0
INTERIOR DECORATING,UNITED KINGDOM,1.0
MANUFACTURING FACILITIES,EGYPT,1.0
SPORTS GOVERNING BODIES,UNITED STATES,6.0
GOLF TOURNAMENTS,ABU DHABI UNITED ARAB EMIRATES,24.0
IMMIGRATION,SYRIA,2.0
HISTORY,AUSTRALIA,5.0
GRAIN FARMING,EARTH,1.0
CATHOLICS & CATHOLICISM,FRANCE,1.0
PORNOGRAPHY,EGYPT,2.0
HEAD INJURIES,TUCSON AZ USA,1.0
COMPUTING & INFORMATION TECHNOLOGY,KOREA REPUBLIC OF,2.0
ANNIVERSARIES,COTE D'IVOIRE,2.0
LAYOFFS,NEW SOUTH WALES AUSTRALIA,1.0
BANKING & FINANCE AGENCIES,AFGHANISTAN,1.0
PUBLIC SCHOOLS,SINGAPORE,1.0
COSTUME & SET DESIGN,UNITED STATES,2.0
DELAYS & POSTPONEMENTS,SUDAN,3.0
RESTAURANTS,BAHRAIN,2.0
HEADS OF STATE & GOVERNMENT,INDIA,6.0
REFORESTATION,SYRIA,1.0
RUNOFF ELECTIONS,AFRICA,1.0
MUSIC,EGYPT,9.0
FINANCIAL CRIME COUNTERMEASURES,JORDAN,1.0
GREAT DEPRESSION,CHINA,1.0
INTERBANK LENDING,EGYPT,1.0
MAGISTRATES,UNITED KINGDOM,1.0
LODGING INDUSTRY SECTOR PERFORMANCE,EUROPE,1.0
FRANCHISING,UNITED ARAB EMIRATES,1.0
PENSION FUNDS,UNITED KINGDOM,1.0
APPOINTMENTS,PERTH AUSTRALIA,2.0
CRIMINAL OFFENSES,AUSTRALIA,1.0
CORPORATE COUNSEL,TALLAHASSEE FL USA,1.0
MARATHONS,LONDON ENGLAND,3.0
MILITARY WEAPONS,SYRIA,5.0
AGRICULTURE,CHINA,3.0
AIRLINE ALLIANCES & PARTNERSHIPS,UNITED ARAB EMIRATES,3.0
POPULATION SIZE,TUNISIA,8.0
LIBERAL MEDIA,UNITED STATES,2.0
GOVERNMENT BONDS,COTE D'IVOIRE,3.0
OLYMPICS,SYDNEY AUSTRALIA,5.0
EDUCATION DEPARTMENTS,SAUDI ARABIA,4.0
TAX RELIEF,COTE D'IVOIRE,1.0
TARIFFS & DUTIES,ALGERIA,4.0
MORTGAGE RATES,EGYPT,3.0
INTERNATIONAL ASSISTANCE,GERMANY,1.0
MOVIE FILMING,IRAQ,3.0
TRADE DEVELOPMENT,QATAR,4.0
RESEARCH INSTITUTES,EGYPT,20.0
SINGLE PARENTS,FRANCE,2.0
LICENSES & PERMITS,JAPAN,1.0
PRESS RELEASES,VENEZUELA BOLIVARIAN REPUBLIC OF,1.0
CASE STUDIES,BRAZIL,1.0
ACTORS & ACTRESSES,SYRIA,1.0
IMPORT TRADE,ASIA,4.0
WRITERS & WRITING,FALKLAND ISLANDS (MALVINAS),2.0
GRANDCHILDREN,TUNISIA,5.0
ECONOMIC DEVELOPMENT,TURKEY,2.0
INFLATION,QATAR,1.0
PHARMACEUTICALS INDUSTRY,UNITED STATES,7.0
BOOK REVIEWS,SWEDEN,1.0
STUDENT ORGANIZATIONS,IRAQ,1.0
LITERACY RATES,NAMIBIA,1.0
VETERANS,NEW YORK USA,1.0
ECONOMIC CONDITIONS,LEBANON,4.0
COLLEGES & UNIVERSITIES,BRAZIL,3.0
RURAL DEVELOPMENT,YEMEN,3.0
MINES & MINING,SOUTH AFRICA,2.0
STEPPARENTS,BAGHDAD IRAQ,1.0
WOUNDS & INJURIES,AUSTRALIA,68.0
ETHNICITY,UNITED STATES,5.0
ELECTION FRAUD,BELARUS,1.0
PRIVATE EQUITY,INDIA,2.0
FREEDOM OF INFORMATION,BOSNIA & HERZEGOVINA,1.0
POLITICS,YEMEN,30.0
GLOBALIZATION,OMAN,1.0
SEPARATISM & SECESSION,KENYA,2.0
MUSEUMS & GALLERIES,PAKISTAN,1.0
AIRPORTS,SUDAN,1.0
TENNIS TOURNAMENTS,UNITED STATES,11.0
GASTROINTESTINAL DISORDERS,ITALY,1.0
RESORTS,TURKEY,1.0
GRAFFITI,SINGAPORE,1.0
WAR ON TERROR,TUNISIA,2.0
INTERNET & WWW,UNITED ARAB EMIRATES,2.0
PAINTING,NORTHERN TERRITORY AUSTRALIA,1.0
EDUCATIONAL INSTITUTION EMPLOYEES,NORTHERN ASIA,1.0
AWARDS & PRIZES,AUSTRALIA,4.0
FUEL MARKETS,LONDON ENGLAND,1.0
TALKS & MEETINGS,TAJIKISTAN,1.0
RETIREMENT & RETIREES,AUSTRALIA,1.0
GRADUATE & PROFESSIONAL SCHOOLS,YEMEN,1.0
PUBLIC POLICY,LEBANON,4.0
GUILTY PLEAS,MANCHESTER ENGLAND,3.0
CONTRACTS LAW,UNITED STATES,1.0
RETAIL COUPONS,EGYPT,1.0
DIPLOMATIC SERVICES,SAUDI ARABIA,2.0
FOREIGN POLICY,COLOMBIA,1.0
MILITARY WEAPONS,ZIMBABWE,1.0
TORTURE,CAIRO EGYPT,1.0
NEW PRODUCTS,ISRAEL,2.0
MOTOR VEHICLES,EUROPE,2.0
DOMESTIC TOURISM,UGANDA,2.0
INTERNATIONAL RELATIONS,THAILAND,2.0
AMNESTY,UNITED STATES,1.0
LICENSES & PERMITS,FLORIDA USA,1.0
HIJACKING,ISRAEL,1.0
STATE DEPARTMENTS & FOREIGN SERVICES,BOSNIA & HERZEGOVINA,1.0
BUSINESS & PROFESSIONAL ASSOCIATIONS,IRELAND,1.0
ONLINE TRAVEL BOOKINGS,UNITED STATES,1.0
TRADE TREATIES & AGREEMENTS,BERLIN GERMANY,2.0
STADIUMS & ARENAS,AUSTRALIA,124.0
BREAST CANCER,UNITED STATES,1.0
POSTWAR RECONSTRUCTION,SCOTLAND,1.0
ISLANDS & REEFS,AUSTRALIA,6.0
2011 EGYPTIAN PROTESTS,KENYA,1.0
CYCLING,BRAZIL,1.0
SPORTS,SERBIA,5.0
PHARMACEUTICALS INDUSTRY,CHINA,2.0
ASSASSINATION,COTE D'IVOIRE,1.0
GRADUATE & PROFESSIONAL SCHOOLS,IRAN ISLAMIC REPUBLIC OF,2.0
CONVENTION & VISITORS BUREAUS,MALDIVES,1.0
INFRASTRUCTURE,MOROCCO,1.0
SUMMER OLYMPICS,SIERRA LEONE,1.0
PRIMARY & SECONDARY SCHOOL TEACHERS,NORTHERN ASIA,1.0
SOMALI PIRACY,UNITED STATES,4.0
FILM DIRECTORS,LONDON ENGLAND,1.0
JEWS & JUDAISM,ISRAEL,78.0
ARMS EMBARGOES,SOMALIA,2.0
SPORTS & RECREATION FACILITIES & VENUES,MALAYSIA,1.0
PRICE CHANGES,IRELAND,1.0
HOUSING MARKET,UNITED ARAB EMIRATES,1.0
CHRISTIANS & CHRISTIANITY,PALESTINIAN TERRITORY OCCUPIED,9.0
HEALTH CARE,SCOTLAND,1.0
SCIENCE NEWS,AFRICA,6.0
RESEARCH,AUSTRALIA,7.0
CLERGY & RELIGIOUS,IRAN ISLAMIC REPUBLIC OF,3.0
NATURAL GAS MARKETS,CANADA,1.0
CYBERTERRORISM,TUNISIA,1.0
TEXT MESSAGING,IRAQ,1.0
BUSINESS CLIMATE & CONDITIONS,NIGERIA,2.0
OIL & GAS PLANT CONSTRUCTION,SINGAPORE,1.0
LAKES,ISRAEL,1.0
FOOD PRICES,HAITI,4.0
TERRORIST ORGANIZATIONS,BELGIUM,1.0
GASOLINE PRICES,NIGERIA,2.0
MOTOR VEHICLES,DUBAI UNITED ARAB EMIRATES,2.0
EUROPEAN UNION INSTITUTIONS,FRANCE,1.0
